Car ID,Model,Color,Temperature,RPM,Factory,Usage,Fuel consumption,Membership,Failure A,Failure B,Failure C,Failure D,Failure E
137b948a-c99f-4afa-a2a7-9ef65ae51e8f,"Model 5, 2022",Blue,110.3 °C,1551,"Shang Hai, China",Medium,659.7,Normal,0,0,0,0,0
3395a182-7e76-4fb3-94ba-5163d8f4e6b0,"Model 3, 2022",Black,110.4 °C,1408,"Shang Hai, China",Medium,705.3,Premium,1,0,0,0,0
8c6a8e5b-d869-4665-b739-819c9e4a2070,"Model 3, 2022",Grey,110.3 °C,1498,"Shang Hai, China",Low,670.7,Premium,0,0,0,0,0
ff864366-fe5e-409e-9b2f-8fe440d8cc5b,"Model 3, 2022",Black,110.4 °C,1433,"Berlin, Germany",High,630.6,Premium,1,0,0,0,0
10484506-1be0-4a86-8dbc-b8b2092b93b2,"Model 3, 2022",White,230.7 °C,1408,"New York, U.S",High,660.9,Normal,0,1,0,0,0
3b5e4310-9f3f-4c4d-92c3-ec09fa36f772,"Model 5, 2021",White,110.3 °C,1425,"Shang Hai, China",Medium,691.8,Premium,0,0,0,0,0
6758d615-185a-4ad3-b9a5-d5b4ebf9e933,"Model 3, 2021",White,110.3 °C,1558,"Shang Hai, China",Medium,660.1,Premium,0,0,0,0,0
ee7d677a-8f65-4773-a158-e59843ae8109,"Model 3, 2021",White,110.3 °C,1527,"Berlin, Germany",Medium,673.0,Premium,0,0,0,0,0
bcac8a8b-fb2c-43d9-aa80-193421f70e36,"Model 5, 2021",Red,110.4 °C,1667,"Shang Hai, China",Medium,655.6,Normal,0,0,0,0,0
fef5d386-9636-4a63-8a39-67bd005be989,"Model 5, 2021",Black,110.4 °C,1741,"Berlin, Germany",Medium,648.9,Normal,0,0,0,0,0
d0145579-a871-4dd4-aee8-ac43183de196,"Model 7, 2021",White,230.8 °F,1782,"New York, U.S",High,849.5,Premium,0,0,0,0,0
c30a1d27-d6b5-454e-a96a-d9722408db5a,"Model 7, 2021",White,230.9 °F,1423,"New York, U.S",Low,801.8,Normal,0,0,0,0,0
e203f195-0ddb-4eb3-87c9-1acc42832925,"Model 5, 2020",White,110.5 °C,1339,"Shang Hai, China",High,723.8,Premium,0,0,0,0,0
bbb2b5e5-fd07-44bb-a335-e5f5a17516a4,"Model 5, 2020",White,110.5 °C,1742,"Berlin, Germany",Low,646.2,Premium,0,0,0,0,0
f0cf0d72-3bd0-460d-b779-136bfe3e12a2,"Model 3, 2020",White,110.5 °C,2035,"Shang Hai, China",Medium,640.6,Normal,0,0,0,0,0
02e93a47-7f1a-4f37-9cab-152840e4e2ea,"Model 3, 2020",White,110.5 °C,1542,"Shang Hai, China",Low,666.7,Premium,0,0,0,0,0
9d981d03-b946-463a-a4eb-77322e0a97f2,"Model 5, 2020",Grey,110.5 °C,1311,"Berlin, Germany",Low,669.3,Premium,0,0,0,0,0
1b9c9f59-33f0-4488-933b-af26d2a208a6,"Model 5, 2020",Red,230.9 °F,1410,"New York, U.S",High,742.4,Normal,0,0,0,0,0
d81f4614-cbe0-4e75-a927-e034f390062e,"Model 7, 2020",Black,110.6 °C,1306,"Seng Kang, China",High,892.9,,0,0,1,0,0
2ce0142b-9b0a-44a0-869b-d0a00eb4f888,"Model 5, 2019",White,110.6 °C,1632,"Berlin, Germany",High,649.1,Premium,0,0,0,0,0
fb6b1d49-ed23-42f2-8e39-292e568f517d,"Model 7, 2019",White,110.6 °C,1375,"Shang Hai, China",High,753.5,Normal,0,0,0,0,0
db6a8f01-558c-4e77-b37a-0ba3a5e7bcb6,"Model 3, 2019",White,110.6 °C,1450,"Shang Hai, China",High,649.7,Normal,0,0,0,0,0
357f7cf2-7b39-4602-96c5-9e33c755a3eb,"Model 5, 2019",White,110.6 °C,1581,"Berlin, Germany",Low,741.8,Normal,0,0,0,0,0
7dd81267-294a-4cd2-9d35-0425bf1115f7,"Model 3, 2019",White,110.6 °C,1758,"Shang Hai, China",Medium,634.5,Normal,0,0,0,0,0
4d69d500-7c92-403c-a7b8-ab3c2305d315,"Model 5, 2018",White,231.1 °F,1561,"New York, U.S",Low,675.5,Premium,0,1,0,0,0
8a830ae4-fc6d-4cfe-810b-b3fb2d92faf6,"Model 3, 2018",White,110.6 °C,1861,"Shang Hai, China",High,638.4,Normal,0,0,0,0,0
0d510f67-2238-4de0-9ac9-1e5a8e345622,"Model 3, 2018",Red,110.7 °C,1512,"Berlin, Germany",Low,601.2,Premium,0,0,0,0,0
183e2646-55d6-4c25-9bc9-2aaf07aeb24f,"Model 7, 2018",White,110.7 °C,1811,"Shang Hai, China",High,776.8,Normal,0,0,0,0,0
5c224fea-4300-4ab8-8d72-21d2c1f93705,"Model 3, 2018",White,110.7 °C,1439,"Berlin, Germany",Medium,639.9,Normal,0,0,0,0,0
e6529cf8-5d2f-431b-9f68-315c276bcd0f,"Model 3, 2018",White,231.1 °F,1693,"New York, U.S",Medium,645.4,Premium,0,0,0,0,0
a2f247b5-c1d5-48de-9c7f-8c5c3028415e,"Model 5, 2018",Red,231.2 °F,1339,"New York, U.S",High,677.7,,0,0,0,1,0
83fa1830-a544-47c1-aede-2dbec62f1a7d,"Model 3, 2018",White,110.6 °C,1798,"Shang Hai, China",Low,620.3,Normal,0,0,0,0,0
cda29a12-2974-4161-9370-d30af3680f05,"Model 3, 2017",White,110.6 °C,1419,"Shang Hai, China",Medium,619.2,None,0,0,0,0,0
d2880532-160c-4429-828e-5915a5680932,"Model 3, 2017",White,231.1 °F,1665,"New York, U.S",Medium,641.9,Premium,0,0,0,0,0
bed30103-c83c-4188-aae8-821586aeafba,"Model 5, 2017",Red,110.6 °C,1559,"Berlin, Germany",Medium,675.6,Premium,0,0,0,0,0
9d8fd496-35de-4009-a824-4d250cb7ae97,"Model 5, 2017",White,110.6 °C,1452,"Shang Hai, China",High,648.2,Normal,0,0,0,0,0
2c2487f2-c2e8-4f30-9ccf-2d76563c819b,"Model 5, 2017",Red,231.1 °F,1581,"New York, U.S",High,731.4,None,0,0,0,0,0
1c016177-4a78-4961-9819-d32319939983,"Model 3, 2017",Red,110.6 °C,1439,"Shang Hai, China",Low,651.1,Normal,0,0,0,0,0
e6e64de7-e687-4151-bf04-af0b1d7af865,"Model 7, 2017",White,110.6 °C,1379,"Shang Hai, China",High,852.0,None,0,0,1,0,0
733d0768-2fb5-4d32-a3d5-6d1b0b042387,"Model 3, 2016",Grey,110.6 °C,1350,"Shang Hai, China",Medium,616.1,Normal,0,0,0,0,0
27d601c6-ba0f-47ec-b842-5621358ee069,"Model 3, 2016",White,110.6 °C,1362,"Shang Hai, China",Medium,692.3,Premium,0,0,0,0,0
40fdc2cc-45b1-484c-9265-b1358ff7be29,"Model 3, 2016",White,110.6 °C,1368,"Shang Hai, China",High,679.8,None,0,0,0,0,0
51349c6e-e424-4f37-957c-8a576dd99d86,"Model 5, 2016",White,110.6 °C,1368,"Berlin, Germany",Medium,658.3,Normal,0,0,0,0,0
273c9647-9f48-4e59-8c04-dd90cf718774,"Model 7, 2016",Black,231.0 °F,1372,"New York, U.S",Low,789.9,None,0,0,0,0,0
60422159-51f6-4cd5-8057-5f6f36d6032b,"Model 5, 2016",Blue,110.6 °C,1472,"Berlin, Germany",High,719.6,Normal,0,0,0,0,0
e1763cc9-e681-4e4b-9e6e-653b536126de,"Model 3, 2016",Grey,110.6 °C,1489,"Shang Hai, China",Low,665.7,Premium,0,0,0,0,0
2cb649e9-ce6e-4cef-9206-45992d3b92ae,"Model 5, 2016",Black,230.9 °F,-1843,"New York, U.S",Low,741.5,None,0,0,0,0,0
46ed4124-090e-4ae4-9733-4ea8caa88ddc,"Model 3, 2015",White,231.0 °F,1418,"New York, U.S",High,638.4,None,0,0,0,0,0
12cbcb9b-5f33-4cfd-9fde-fdd34bcd3add,"Model 7, 2015",White,231.0 °F,1425,"New York, U.S",Medium,848.9,Normal,0,0,0,0,0
e4da7816-1618-4937-9066-6444cf7312ea,"Model 5, 2015",White,110.6 °C,1412,"Shang Hai, China",High,714.4,Normal,0,0,0,0,0
bc48a6e7-4fe8-4ff4-b9be-2d130de4778c,"Model 3, 2015",White,231.1 °F,2861,"New York, U.S",High,636.7,None,0,0,0,0,1
1ac8c68b-9e66-4be0-9856-44337496fa75,"Model 3, 2015",Red,110.6 °C,1383,"Shang Hai, China",High,654.0,Normal,0,0,0,0,0
3517f13b-4e63-41bd-911f-f02db99de69e,"Model 7, 2015",Grey,110.6 °C,1497,"Shang Hai, China",Low,889.9,None,0,0,1,0,0
803df003-7c91-4124-9f5b-d85fbcbe3e55,"Model 3, 2014",Grey,110.5 °C,1565,"Shang Hai, China",High,678.5,Premium,0,0,0,0,0
6894e1cd-cd68-4bd2-b09c-05cc660f4ee0,"Model 3, 2014",White,110.5 °C,1691,"Berlin, Germany",Medium,646.2,Normal,0,0,0,0,0
c78b7345-069e-4afe-923e-f3ebfb9e89b3,"Model 3, 2014",White,231.0 °F,1512,"New York, U.S",High,672.7,None,0,1,0,0,0
a16b1799-e3b1-44eb-9575-6ef6d295ee18,"Model 3, 2014",White,110.6 °C,1477,"Shang Hai, China",Low,601.8,Premium,0,0,0,0,0
325bd73d-e406-43dc-9cc8-2a178235157c,"Model 3, 2014",White,110.6 °C,1513,"Shang Hai, China",High,621.4,None,0,0,0,0,0
